quiz,item,type,carry_forward,objectives,stem,options,answer,rationale,source
checkpoint-domain-1,11,single,no,1.2.4,Which set of activities describes management *in* the cloud?,"A. Autoscaling resources and automatically replacing failing resources | B. Deploying from preconfigured templates and receiving metric-based alerts | C. Using a web portal, a command line interface, APIs, or PowerShell to manage the environment | D. Monitoring resource health and configuring automatic alerts",C,"Management *in* the cloud is the interfaces — portal, CLI, APIs, PowerShell. A, B, and D are all management *of* the cloud.",https://learn.microsoft.com/en-us/training/modules/describe-benefits-use-cloud-services/5-manageability-cloud
checkpoint-domain-1,12,matching,no,1.3.1 1.3.2 1.3.3 1.3.4,"(Match each requirement to the cloud service type that fits best: IaaS, PaaS, or SaaS.)",i. Full control of the operating system for a lift-and-shift migration | ii. A ready-to-use email and messaging product with no development work | iii. A managed development framework with built-in scalability and multitenancy so developers write less infrastructure code | iv. Rapidly created and destroyed test environments replicating an established server configuration | v. Business intelligence tooling delivered as a service for a team to analyze its own data,"i–IaaS, ii–SaaS, iii–PaaS, iv–IaaS, v–PaaS","Lift-and-shift and rapid test-environment replication are the IaaS scenarios; development framework and analytics or business intelligence are the PaaS scenarios; a ready-to-use product is SaaS. Score one point per pair, then round.",https://learn.microsoft.com/en-us/training/modules/describe-cloud-service-types/2-describe-infrastructure-service
checkpoint-domain-2,1,matching,no,2.1.1 2.1.2 2.1.3,"(Match each description to the correct term: datacenter, region, availability zone, region pair, sovereign region.)","i. Physically separate datacenters within one region, each with independent power, cooling, and networking | ii. A geographical area containing one or more nearby networked datacenters | iii. A physical facility of racked servers that customers do not deploy to directly | iv. Two regions in the same geography, at least 300 miles apart, used for replication and staged updates | v. An isolated instance of Azure for legal or compliance purposes","i–availability zone, ii–region, iii–datacenter, iv–region pair, v–sovereign region",The five physical-infrastructure terms. Customers deploy to regions and zones; datacenters are the underlying facilities. Score per pair.,https://learn.microsoft.com/en-us/training/modules/describe-core-architectural-components-of-azure/5-describe-azure-physical-infrastructure
checkpoint-domain-2,2,yes-no,no,2.1.4 2.1.5 2.1.6 2.1.7,"(For each statement, answer yes or no.)","i. A resource can belong to only one resource group at a time. | ii. A subscription is both a billing boundary and an access control boundary. | iii. Management groups sit above subscriptions, and subscriptions inherit the governance conditions applied to them. | iv. Resource groups can be nested inside other resource groups.","i–yes, ii–yes, iii–yes, iv–no",Resources belong to exactly one resource group; subscriptions are billing and access boundaries; management groups pass governance conditions down; resource groups cannot be nested. Score per statement.,https://learn.microsoft.com/en-us/training/modules/describe-core-architectural-components-of-azure/6-describe-azure-management-infrastructure
checkpoint-domain-2,3,single,no,2.2.1,"A team needs to run several instances of an application on one host, starting and stopping them quickly, without managing a separate operating system per instance — and separately needs to run short code triggered by queue messages. Which two compute options fit?","A. Virtual machines for both | B. Containers for the first, functions for the second | C. Functions for the first, virtual machines for the second | D. Azure Virtual Desktop for both",B,"Containers run multiple lightweight instances on one host without a per-instance OS to manage; functions run event-triggered code, including triggers from queue messages.",https://learn.microsoft.com/en-us/training/modules/describe-azure-compute-networking-services/5-containers
checkpoint-domain-2,4,single,no,2.2.2,Which combination correctly matches the requirement to the service?,A. Identical load-balanced VMs that scale automatically → availability set; centrally managed Windows desktops for remote workers → Azure Virtual Desktop | B. Identical load-balanced VMs that scale automatically → virtual machine scale set; centrally managed Windows desktops for remote workers → Azure Virtual Desktop | C. Identical load-balanced VMs that scale automatically → Azure App Service; centrally managed Windows desktops for remote workers → virtual machine scale set | D. Both requirements → Azure Container Apps,B,Scale sets provide identical load-balanced VMs with automatic scaling; availability sets provide in-region resiliency but do not change instance counts. Azure Virtual Desktop delivers centrally managed desktops and apps.,https://learn.microsoft.com/en-us/training/modules/describe-azure-compute-networking-services/2-virtual-machines
checkpoint-domain-2,5,multi-select,no,2.2.3,Which items must be specified when provisioning a virtual machine? (Select all that apply.),"A. VM size, including family, vCPU count, and RAM | B. Storage disks | C. Virtual network and network interface | D. An Azure Policy initiative | E. A Microsoft Purview data map","A, B, C","Size, disks, and networking are the required VM choices. Policy initiatives and Purview data maps are governance features unrelated to provisioning a VM.",https://learn.microsoft.com/en-us/training/modules/describe-azure-compute-networking-services/2-virtual-machines
checkpoint-domain-2,6,single,no,2.2.4,"A development team wants managed hosting for a web app and a REST API, in the language of their choice, with automatic scaling and Git-based deployment, and no operating system to maintain. Which option fits?",A. Azure Virtual Machines in an availability set | B. Azure App Service | C. Azure Data Box | D. Azure Virtual Desktop,B,"App Service is the managed application hosting option covering web apps, API apps, WebJobs, and mobile back ends, with automatic scaling, built-in load balancing, and Git-based deployment.",https://learn.microsoft.com/en-us/training/modules/describe-azure-compute-networking-services/7-describe-application-hosting-options
checkpoint-domain-2,7,matching,no,2.2.5,"(Match each connectivity requirement to the right option: virtual network peering, site-to-site VPN, point-to-site VPN, Azure ExpressRoute, Azure DNS.)","i. Encrypted connection from a single laptop into an Azure virtual network | ii. Private, dedicated connectivity from a datacenter to Azure that does not use the public internet | iii. Direct private connectivity between two Azure virtual networks over the Microsoft backbone | iv. Encrypted connection from an on-premises network's gateway to an Azure virtual network over the internet | v. Hosting DNS domains and resolving names for Azure and external resources","i–point-to-site VPN, ii–ExpressRoute, iii–virtual network peering, iv–site-to-site VPN, v–Azure DNS",The five named networking capabilities in the objective. Score per pair.,https://learn.microsoft.com/en-us/training/modules/describe-azure-networking-services/2-virtual-network
checkpoint-domain-2,8,single,no,2.2.6,"A database must be reachable from resources inside a virtual network using a private IP address from that network's address space, and not from the internet. What should be configured?",A. A public endpoint | B. A private endpoint | C. A network security group rule allowing all inbound traffic | D. ExpressRoute Global Reach,B,A private endpoint exists in the virtual network and uses a private IP from its address space. A public endpoint is internet-reachable; an allow-all NSG rule would do the opposite of what is required.,https://learn.microsoft.com/en-us/training/modules/describe-azure-networking-services/2-virtual-network
checkpoint-domain-2,9,matching,no,2.3.1 2.3.2,(Match each requirement to the Azure Storage service and access tier combination that fits.),"i. Serving website images that users request constantly | ii. Customer invoices retained for compliance, accessed a few times a year but needed immediately when accessed | iii. Long-term backups that are rarely accessed, retained for at least 180 days, where retrieval latency is acceptable | iv. A managed file share that Windows and Linux clients mount concurrently","i–Blob Storage, hot tier; ii–Blob Storage, cool or cold tier; iii–Blob Storage, archive tier; iv–Azure Files","Hot for frequent access, cool (30+ days) or cold (90+ days) for infrequent but immediately readable, archive (180+ days) where rehydration latency is acceptable. Azure Files provides the SMB/NFS managed share. Score per pair.",https://learn.microsoft.com/en-us/training/modules/describe-azure-storage-services/4-describe-azure-storage-services
checkpoint-domain-2,10,single,no,2.3.3 2.3.4,"An organization needs a storage design that survives both an availability zone failure in the primary region and a regional disaster, and must be able to read the secondary copy before any failover. Which redundancy option fits, and which account type supports it?",A. LRS on premium page blobs | B. ZRS on premium file shares | C. RA-GZRS on standard general-purpose v2 | D. GRS on premium block blobs,C,GZRS gives zone redundancy in the primary region plus geo-replication; the RA- variant adds read access to the secondary before failover; and standard general-purpose v2 is the account type that supports RA-GZRS. Premium account types are limited to LRS or ZRS.,https://learn.microsoft.com/en-us/training/modules/describe-azure-storage-services/3-redundancy
checkpoint-domain-2,11,matching,no,2.3.5 2.3.6,"(Match each need to the right tool: AzCopy, Azure Storage Explorer, Azure File Sync, Azure Migrate, Azure Data Box.)","i. Assess an on-premises server estate and migrate it to Azure from a single portal | ii. Ship 60 TB into Azure when the network connection is too slow | iii. Command-line copying and one-direction synchronization of blobs and files | iv. A cross-platform graphical app for managing blobs and files | v. Keep a Windows file server bidirectionally synced with Azure Files, caching hot files locally","i–Azure Migrate, ii–Azure Data Box, iii–AzCopy, iv–Azure Storage Explorer, v–Azure File Sync",Migrate for assessment and migration; Data Box for offline bulk transfer up to 80 TB usable; AzCopy for command-line copy and one-direction sync; Storage Explorer for the cross-platform GUI; File Sync for bidirectional server sync with cloud tiering. Score per pair.,https://learn.microsoft.com/en-us/training/modules/describe-azure-storage-services/6-identify-azure-data-migration-options
checkpoint-domain-2,12,yes-no,no,2.4.1 2.4.2 2.4.3 2.4.4 2.4.5 2.4.6 2.4.7 2.4.8,"(For each statement, answer yes or no.)","i. Microsoft Entra Domain Services provides a managed domain with domain join, group policy, LDAP, and Kerberos/NTLM without you deploying domain controllers. | ii. Windows Hello for Business, the Microsoft Authenticator app, and FIDO2 security keys are the three passwordless options in Microsoft Entra ID. | iii. Conditional Access collects signals, makes a decision, then enforces it by allowing, blocking, or challenging for multifactor authentication. | iv. Azure RBAC uses a deny model, so the most restrictive role assignment always wins. | v. The three Zero Trust principles are verify explicitly, use least privilege access, and assume breach. | vi. In defense in depth, the perimeter layer uses DDoS protection to filter large-scale attacks. | vii. Microsoft Defender for Cloud provides a secure score, prioritized recommendations, and security alerts across Azure, hybrid, and other clouds. | viii. B2B collaboration users are typically represented in your directory as guests.","i–yes, ii–yes, iii–yes, iv–no, v–yes, vi–yes, vii–yes, viii–yes","Only statement iv is false: Azure RBAC uses an **allow** model, and permissions from multiple assignments combine. Score per statement.",https://learn.microsoft.com/en-us/training/modules/describe-azure-identity-access-security/2-directory-services
final-readiness-set,1,single,no,1.1.1,"An organization stops buying servers and instead rents compute, storage, and networking from a provider over the internet, releasing resources when it no longer needs them. Which characteristic of cloud computing does this describe?",A. Virtualization | B. Consumption of services delivered over the internet rather than owned infrastructure | C. Disaster recovery | D. Containerization,B,"Cloud computing is consuming computing services over the internet rather than owning infrastructure, with the ability to release resources. Virtualization and containerization are technologies, not the defining characteristic.",https://learn.microsoft.com/en-us/training/modules/describe-cloud-compute/3-what-cloud-compute
final-readiness-set,2,multi-select,no,1.1.2,A company runs an application on an Azure virtual machine and installs its own web server software on it. Which responsibilities belong to the company? (Select all that apply.),A. Patching the web server software | B. Patching the guest operating system | C. Maintaining the physical host hardware | D. Controlling who has access to the application's data | E. Securing the datacenter's physical perimeter,"A, B, D","On IaaS the customer owns installed software, the guest OS, and — in every model — the data and its access. Physical hosts and datacenter security are always the provider's.",https://learn.microsoft.com/en-us/training/modules/describe-cloud-compute/4-describe-shared-responsibility-model
final-readiness-set,3,matching,no,1.1.3 1.1.4,"(Match each situation to the cloud model that fits best: public, private, hybrid, multicloud.)","i. A government department requires resources dedicated to itself with complete control of security | ii. An insurer keeps its policy database on dedicated infrastructure and runs its quote calculator in a provider's cloud, connected together | iii. A media startup runs entirely on services bought from one cloud provider | iv. A bank runs workloads with two separate public cloud providers and manages security in both","i–private, ii–hybrid, iii–public, iv–multicloud",Dedicated single-entity environment with full control is private; interconnected private and public is hybrid; buying everything from one provider is public; two public providers is multicloud.,https://learn.microsoft.com/en-us/training/modules/describe-cloud-compute/5-define-cloud-models
final-readiness-set,4,single,no,1.1.5,Which statement best explains why cloud spending is classified as an operating expense?,A. Cloud resources depreciate over five years | B. You pay for services as you consume them rather than purchasing infrastructure up front | C. Cloud providers invoice annually | D. Cloud resources cannot be capitalized because they are virtual,B,Paying for services as consumed makes cloud spending operational rather than capital expenditure.,https://learn.microsoft.com/en-us/training/modules/describe-cloud-compute/6-describe-consumption-based-model
final-readiness-set,5,single,no,1.1.6,"A team has two workloads: a steady production API that will run for three years on a known VM size, and an overnight batch job that can be interrupted and restarted. Which pricing approach suits each?",A. Spot for the API; reservation for the batch job | B. Reservation for the API; spot for the batch job | C. Pay-as-you-go for both | D. Savings plan for the API; reservation for the batch job,B,"Reservations suit steady, predictable workloads on known resources; spot suits interruption-tolerant work using unused capacity at lower prices.",https://learn.microsoft.com/en-us/training/modules/describe-cost-management-azure/2-describe-factors-affect-costs-azure
final-readiness-set,6,single,no,1.1.7,Which requirement most clearly points to a serverless service?,A. The workload needs a specific Linux kernel version | B. Work arrives unpredictably as messages and each unit finishes in seconds | C. Users need a full managed Windows desktop | D. The workload requires a dedicated physical host,B,"Unpredictable, short, event-triggered units of work are the serverless case; nothing needs to remain provisioned between events.",https://learn.microsoft.com/en-us/training/modules/describe-azure-compute-networking-services/6-functions
final-readiness-set,7,single,no,1.2.1,"An application adds instances during a sale and removes them afterward, and separately the team increases the RAM on its database server. Which two scaling types are in use, in that order?","A. Vertical, then horizontal | B. Horizontal, then vertical | C. Both horizontal | D. Both vertical",B,Adding and removing instances is horizontal scaling; increasing RAM on an existing resource is vertical scaling.,https://learn.microsoft.com/en-us/training/modules/describe-benefits-use-cloud-services/2-high-availability-scalability-cloud
final-readiness-set,8,single,no,1.2.2,Which statement describes cost predictability as a cloud benefit?,"A. Costs never change once resources are deployed | B. You can track usage in real time, analyze patterns, and forecast future spend, including with the pricing calculator | C. All Azure services cost the same in every region | D. Costs are fixed by a service-level agreement",B,"Cost predictability comes from real-time usage tracking, monitoring, analytics on patterns, and estimation tools such as the pricing calculator.",https://learn.microsoft.com/en-us/training/modules/describe-benefits-use-cloud-services/3-reliability-predictability-cloud
final-readiness-set,9,single,no,1.2.3,"An organization wants deployments to consistently meet its technical standards, and wants to be alerted when a deployed resource drifts out of compliance with its baseline. Which cloud benefit category does this describe?",A. Scalability | B. Security and governance | C. Manageability in the cloud | D. Elasticity,B,"Templates that make deployments meet standards, and auditing that flags resources out of compliance with a baseline, are the governance and security benefits.",https://learn.microsoft.com/en-us/training/modules/describe-benefits-use-cloud-services/4-security-governance-cloud
final-readiness-set,10,single,no,1.2.4,Which list contains only *management of the cloud* capabilities?,"A. Azure portal, Azure CLI, REST APIs | B. Autoscaling deployments, template-based deployment, automatic replacement of failing resources, metric-based alerts | C. Purchasing subscriptions, assigning licenses | D. Writing application code, running tests",B,"Management *of* the cloud is autoscaling, template deployment, automatic replacement of failing resources, and metric-based alerts. A is management *in* the cloud.",https://learn.microsoft.com/en-us/training/modules/describe-benefits-use-cloud-services/5-manageability-cloud
final-readiness-set,11,single,no,1.3.1 1.3.2,"A team wants a managed platform with built-in scalability and multitenancy so developers write less infrastructure code, but they still own and deploy the application. A second team needs full control of the operating system for a lift-and-shift migration. Which service types fit, in that order?","A. IaaS, then PaaS | B. PaaS, then IaaS | C. SaaS, then PaaS | D. PaaS, then SaaS",B,A managed development platform with built-in scalability and multitenancy is PaaS; full OS control for lift-and-shift is IaaS.,https://learn.microsoft.com/en-us/training/modules/describe-cloud-service-types/3-describe-platform-service
final-readiness-set,12,matching,no,1.3.3 1.3.4,"(Match each purchase to the cloud service type: IaaS, PaaS, or SaaS.) ### Domain 2 — Describe Azure architecture and services (Q13–Q30)",i. A subscription to a hosted expense-tracking application used by the finance team as-is | ii. Virtual machines the customer patches and configures | iii. A managed analytics and business intelligence service the customer points at its own data | iv. A messaging and email product delivered ready to use,"i–SaaS, ii–IaaS, iii–PaaS, iv–SaaS",Ready-to-use applications are SaaS; customer-managed VMs are IaaS; managed analytics tooling the customer points at its own data is PaaS.,https://learn.microsoft.com/en-us/training/modules/describe-cloud-service-types/4-describe-software-service
final-readiness-set,13,single,no,2.1.1,"A workload must remain available if an entire Azure region becomes unavailable, and data must stay within the same geography for compliance. Which capability is designed for this?",A. Availability zones | B. Region pairs | C. Availability sets | D. Resource groups,B,"Region pairs replicate across a geography at least 300 miles apart, keeping data in the same geography for residency purposes. Availability zones protect within a region only.",https://learn.microsoft.com/en-us/training/modules/describe-core-architectural-components-of-azure/5-describe-azure-physical-infrastructure
final-readiness-set,14,yes-no,no,2.1.2 2.1.3,"(For each statement, answer yes or no.)","i. An availability-zone-enabled region contains a minimum of three separate availability zones. | ii. Customers choose which individual datacenter within a region their resources are deployed to. | iii. Availability zones within a region have independent power, cooling, and networking.","i–yes, ii–no, iii–yes","Zone-enabled regions have at least three zones with independent power, cooling, and networking. Customers deploy to regions and zones; they do not select individual datacenters.",https://learn.microsoft.com/en-us/training/modules/describe-core-architectural-components-of-azure/5-describe-azure-physical-infrastructure
final-readiness-set,15,single,no,2.1.4 2.1.5,"A company wants development and production workloads billed separately, with different access policies, and wants each project's resources grouped so that all of a project's resources can be deleted together. Which two constructs does this describe, in order?","A. Management groups, then subscriptions | B. Subscriptions, then resource groups | C. Resource groups, then tags | D. Tags, then subscriptions",B,Subscriptions separate billing and access control; resource groups group resources so actions — including deletion — apply to the whole group.,https://learn.microsoft.com/en-us/training/modules/describe-core-architectural-components-of-azure/6-describe-azure-management-infrastructure
final-readiness-set,16,single,no,2.1.6 2.1.7,"An organization with 30 subscriptions must apply one governance rule and one role assignment that reach every subscription and every resource beneath them, without repeating the assignment. Where should these be applied, and what makes it work?","A. On each subscription, because assignments cannot be made higher | B. At a management group, because subscriptions and their contents inherit its conditions | C. On a resource group, because resource groups can contain subscriptions | D. In Microsoft Entra ID, because identity governs resource configuration",B,"Management groups sit above subscriptions; policy and RBAC assignments there are inherited all the way down, which is why one assignment suffices.",https://learn.microsoft.com/en-us/training/modules/describe-core-architectural-components-of-azure/6-describe-azure-management-infrastructure
final-readiness-set,17,single,no,2.2.1,Which option describes the compute choice that requires no operating system management by the customer and runs code only when an event triggers it?,A. Azure Virtual Machines | B. Azure Container Instances | C. Azure Functions | D. Azure Virtual Desktop,C,Azure Functions is the event-driven serverless option with no VMs or containers to maintain. Container Instances still involves a container you supply; VMs require OS management.,https://learn.microsoft.com/en-us/training/modules/describe-azure-compute-networking-services/6-functions
final-readiness-set,18,single,no,2.2.2,"A retailer needs identical, load-balanced virtual machines whose count rises and falls with demand, and separately needs to protect a pair of legacy VMs from a single rack or planned-maintenance failure within one region. Which two options fit, in order?","A. Availability set, then virtual machine scale set | B. Virtual machine scale set, then availability set | C. Azure Virtual Desktop, then availability set | D. Virtual machine scale set, then region pair",B,Scale sets give identical load-balanced VMs that scale with demand; availability sets spread VMs across update and fault domains for in-region resiliency.,https://learn.microsoft.com/en-us/training/modules/describe-azure-compute-networking-services/2-virtual-machines
final-readiness-set,19,single,no,2.2.3,Which statement about virtual machine provisioning is correct?,"A. Disks and networking are created automatically and cannot be chosen | B. You choose the size (family, vCPU, RAM), storage disks, and networking such as the virtual network, network interface, and optionally a public IP | C. VM size cannot be changed after creation under any circumstances | D. A VM must be deployed to a specific datacenter",B,"Size, disks, and networking are all chosen at provisioning time. Deployment targets a region — and optionally a zone — not a specific datacenter.",https://learn.microsoft.com/en-us/training/modules/describe-azure-compute-networking-services/2-virtual-machines
final-readiness-set,20,single,no,2.2.4,Which requirement is best served by Azure App Service rather than by virtual machines or containers?,"A. Running a legacy application that requires a specific OS build and custom drivers | B. Hosting a web app and REST API with automatic scaling and Git-based deployment, without managing an operating system | C. Orchestrating a fleet of containers across many nodes | D. Delivering managed Windows desktops to remote workers",B,App Service is the managed hosting option for web apps and APIs with automatic scaling and Git-based deployment. A needs a VM; C needs AKS; D needs Azure Virtual Desktop.,https://learn.microsoft.com/en-us/training/modules/describe-azure-compute-networking-services/7-describe-application-hosting-options
final-readiness-set,21,multi-select,no,2.2.5,Which statements about Azure virtual networks are correct? (Select all that apply.),"A. A virtual network can be divided into subnets | B. Network security groups can allow or block traffic based on source, destination, port, and protocol | C. Virtual network peering routes traffic between peered networks over the public internet | D. Peered virtual networks can be in different regions | E. Azure routes traffic between subnets in a virtual network by default","A, B, D, E","Subnets, network security groups, cross-region peering, and default inter-subnet routing are all correct. C is false — peered traffic stays private on the Microsoft backbone.",https://learn.microsoft.com/en-us/training/modules/describe-azure-networking-services/2-virtual-network
final-readiness-set,22,matching,no,2.2.5 2.2.6,"(Match each requirement to the correct option: site-to-site VPN, point-to-site VPN, ExpressRoute, Azure DNS, private endpoint.)","i. A remote worker's laptop needs an encrypted connection into a virtual network | ii. A datacenter needs private connectivity to Azure that does not use the public internet | iii. A storage account must be reachable only from inside a virtual network, using a private IP from its address space | iv. An on-premises network gateway needs an encrypted tunnel to an Azure virtual network over the internet | v. A team needs to host DNS records for its domain using the same credentials and billing as its other Azure services","i–point-to-site VPN, ii–ExpressRoute, iii–private endpoint, iv–site-to-site VPN, v–Azure DNS",Each option maps to exactly one requirement. Score per pair.,https://learn.microsoft.com/en-us/training/modules/describe-azure-networking-services/3-virtual-private-networks
final-readiness-set,23,single,no,2.2.6,Which statement about endpoints is correct?,A. A private endpoint has a public IP address but restricts access with a firewall rule | B. A public endpoint has a public IP address and can be accessed from anywhere in the world | C. Public and private endpoints are two names for the same feature | D. Private endpoints can only be used with virtual machines,B,A public endpoint has a public IP and is reachable from anywhere; a private endpoint uses a private IP inside a virtual network.,https://learn.microsoft.com/en-us/training/modules/describe-azure-networking-services/2-virtual-network
final-readiness-set,24,matching,no,2.3.1,"(Match each requirement to the Azure Storage service: Blob Storage, Azure Files, Queue Storage, Azure Disk Storage, Table Storage.)","i. Block-level volume attached to a virtual machine | ii. NoSQL store for large amounts of structured, non-relational data | iii. Object store for unstructured media and backup data | iv. Messages held for asynchronous processing between application components | v. Managed share mountable over SMB or NFS by multiple clients at once","i–Azure Disk Storage, ii–Table Storage, iii–Blob Storage, iv–Queue Storage, v–Azure Files",The five core storage services and their canonical uses. Score per pair.,https://learn.microsoft.com/en-us/training/modules/describe-azure-storage-services/4-describe-azure-storage-services
final-readiness-set,25,single,no,2.3.2,"Data must be retained for seven years, is accessed roughly twice a year, must be immediately readable when accessed, and cost should be as low as possible given that constraint. Which access tier fits?",A. Hot | B. Cool or cold | C. Archive | D. Premium page blobs,B,"Cool (30+ days) and cold (90+ days) lower storage cost while keeping data immediately readable. Archive is cheaper still but requires rehydration, so it fails the immediacy requirement.",https://learn.microsoft.com/en-us/training/modules/describe-azure-storage-services/4-describe-azure-storage-services
final-readiness-set,26,single,no,2.3.3,Which statement about Azure Storage redundancy is correct?,"A. LRS replicates data across three availability zones in the primary region | B. ZRS replicates data synchronously across three availability zones in the primary region | C. GRS keeps all copies within a single datacenter | D. Secondary-region data is readable by default with GRS, before any failover",B,ZRS replicates synchronously across three availability zones in the primary region. LRS keeps three copies in one datacenter; GRS adds an asynchronous secondary region; secondary data is not readable before failover unless a read-access variant is used.,https://learn.microsoft.com/en-us/training/modules/describe-azure-storage-services/3-redundancy
final-readiness-set,27,single,no,2.3.4,"A workload needs Azure Files shares accessible over both SMB and NFS, with high performance. Which storage account type is required?",A. Standard general-purpose v2 | B. Premium block blobs | C. Premium file shares | D. Premium page blobs,C,Premium file shares is the account type for Azure Files that supports both SMB and NFS shares at high performance.,https://learn.microsoft.com/en-us/training/modules/describe-azure-storage-services/2-accounts
final-readiness-set,28,single,no,2.3.5 2.3.6,"An organization must move 70 TB into Azure over a constrained network link, and separately needs a repeatable command-line way to copy and one-way synchronize blobs between two storage accounts. Which two tools fit, in order?","A. AzCopy, then Azure Data Box | B. Azure Data Box, then AzCopy | C. Azure File Sync, then Azure Storage Explorer | D. Azure Migrate, then Azure File Sync",B,Data Box handles large offline transfers when bandwidth is the constraint; AzCopy is the command-line tool for copying and one-direction synchronization between storage accounts.,https://learn.microsoft.com/en-us/training/modules/describe-azure-storage-services/6-identify-azure-data-migration-options
